day,n_flagged,n_high_risk,mean_risk,max_risk,n_users,n_insiders_flagged
119,132,13,1.1224081624126259,7.570523972339193,3928,0
120,52,18,2.5942226562533475,7.764745093133491,240,0
121,20,2,2.041535990785071,6.705387111329194,187,0
122,83,18,0.9787137264530633,7.669454005335374,3927,0
123,63,12,0.928143599098777,6.872097261683467,3924,0
124,72,13,0.8869229174424208,7.138414202707321,3923,0
125,90,19,0.9113185964738619,7.75877868959063,3923,0
126,122,20,1.0460832408915992,7.759128346470136,3921,0
127,72,28,2.945199091413929,7.791570333924441,249,0
128,15,2,1.953716975598716,6.4030240442136215,182,0
129,118,27,0.9793170438959538,7.821495457270857,3919,0
130,92,10,0.9395754653887776,7.405335340891676,3921,0
131,78,8,0.9238264233445532,7.413862659458411,3921,0
132,117,15,1.107617848940951,7.969968039831363,3921,0
133,122,18,1.123210832260039,8.1107724640939,3921,0
134,26,10,2.1953795391093296,7.714374465988445,191,0
135,21,2,2.0251613983543115,7.689103561834465,186,0
136,123,17,1.1291096247219088,8.02429762112194,3920,0
137,171,38,1.266988178145157,7.679448268616976,3916,0
138,130,25,1.143383685603646,8.000236086261138,3918,0
139,243,48,1.4413798092120196,8.07397887749958,3918,0
140,148,23,1.2979219646608116,7.868772958731799,3918,0
141,19,4,1.8770716839809463,6.968748019575231,207,0
142,19,5,2.01864545984949,7.945222083886683,181,0
143,132,20,1.2040414784019713,7.133715745180503,3914,0
144,122,21,1.1302265224957002,7.074926845267494,3914,0
145,103,25,1.063261562766411,7.606731909641812,3912,0
146,158,27,1.2459435426451397,8.04148958357304,3912,0
147,118,22,1.1173067736927373,7.301094407788451,3912,0
148,14,4,1.8290199735650279,7.395498473508682,183,0
149,20,7,2.2006733740673377,7.345134897113534,205,0
150,23,5,1.9555582794451631,7.336994481933826,178,0
151,171,45,1.1923419175305237,7.7946787828702915,3907,0
152,170,37,1.1855567670478138,7.989941675647702,3907,0
153,132,16,1.1320238270533203,7.469548526023986,3906,0
154,111,16,1.1145786202292436,7.510059563711566,3906,0
155,16,4,1.9279799344688564,7.809920665635725,182,0
156,13,4,1.8467426640639466,6.92097410263499,183,0
157,127,25,1.189102231833842,7.642289229260702,3905,0
158,96,16,1.0528594214055116,7.682826409310423,3905,0
159,83,9,1.0527350863473541,7.8425894279826815,3903,0
160,118,17,1.1445080031939285,7.315523291914771,3903,0
161,78,10,1.0345849988713112,6.869410296753268,3903,0
162,13,2,1.8072267416285084,6.465949834613925,193,0
163,23,3,2.1207357584465485,7.437003691684247,197,0
164,130,23,1.1672158722595685,7.881199668571003,3901,0
165,86,14,1.0342188238422072,6.93026345030006,3901,0
166,67,19,0.9612425137617809,7.627324111504195,3901,0
167,84,20,0.9617570671144327,8.01696358026361,3901,0
168,78,17,0.924776141051172,7.380453581125243,3901,0
169,24,4,2.113973494442882,7.59373572388198,178,0
170,15,5,1.936138044712631,7.794536708694399,190,0
171,123,22,1.092518794981605,8.045189640684882,3900,0
172,99,8,1.0656315380000376,8.034761562262041,3899,0
173,141,26,1.159984102103282,8.209781074891467,3898,0
174,130,18,1.1071570770701757,7.98378571839634,3898,0
175,152,23,1.247614496504737,7.414489678295043,3898,0
176,21,5,2.0058084115721084,7.615211299375569,196,0
177,25,4,2.106278800407398,6.9919357539190825,176,0
178,195,28,1.345250733144109,7.78770099087937,3894,0
179,152,26,1.2258743423340623,7.596648766776908,3893,0
180,143,23,1.209830655134916,7.316459750473027,3892,0
181,125,13,1.1798233461557355,7.641685798130177,3892,0
182,220,38,1.4125864012405702,8.133217288862824,3892,0
183,84,41,3.1210524680425253,7.702400350553074,248,0
184,25,7,2.2191761006463153,7.490379904884259,182,0
185,12,3,1.7513683792026218,7.228216130652674,180,0
186,259,62,1.4601185472402742,8.251569753553419,3887,0
187,156,36,1.242081068790729,7.6464026483488094,3886,0
188,169,27,1.2447016917695526,7.652305396590572,3885,0
189,116,26,1.081455994362356,7.718667670673059,3884,0
190,19,4,2.0679267363476215,7.953244012648666,189,0
191,23,3,2.1592808175821383,7.951413510042422,197,0
192,123,31,1.0309055535929175,8.14395917694366,3881,0
193,85,18,0.9677648127670387,7.560795486302652,3880,0
194,92,23,0.9467549824703256,7.504037051469157,3879,0
195,107,24,0.9999379377772926,7.809444600697492,3878,0
196,97,24,0.9552618023652845,7.690308054837174,3879,0
197,33,11,2.41566867421742,7.599279451787881,205,0
198,18,7,2.0916398989962373,7.989654910536474,203,0
199,91,20,0.9328986510661476,7.503416389635007,3878,0
200,99,20,0.9519078803488175,7.150729447533437,3874,0
201,78,22,0.8876275880213104,7.991017080456843,3878,0
202,90,13,0.9901241442829273,8.330316656377223,3877,0
203,105,18,1.006884875155493,7.483623007489628,3876,0
204,19,4,1.9629814518408057,7.110090225588976,179,0
205,26,5,2.0292564978929706,7.559598063856364,188,0
206,94,13,1.022310461325923,7.580098231819949,3875,0
207,108,20,1.031927701131032,8.143907543578862,3874,0
208,101,19,1.0437323987071319,7.508797610324573,3873,0
209,160,38,1.2439110610311892,7.716417891692923,3871,0
210,98,24,1.0608623886396118,8.291258228884182,3871,0
211,21,2,2.0166568278814028,7.617732637796611,199,0
212,34,12,2.4631372969097245,7.5332369827633405,179,0
213,173,37,1.2189427012418126,8.001217034431356,3867,0
214,119,25,1.1152434102639512,7.669462437413324,3866,0
215,230,39,1.38094978261751,8.053085541875308,3866,0
216,193,37,1.2867005871432469,7.5934058365322015,3865,0
217,156,33,1.227745892641147,7.679387538746863,3866,0
218,19,5,2.048703628069789,7.518171078005162,178,0
219,24,4,2.1169635931574864,7.388458354679301,189,0
220,226,52,1.3597594895465301,7.8567698223917875,3864,0
221,144,23,1.2047106013185143,7.208659300675593,3864,0
222,146,27,1.2316296764607284,7.459564926282297,3864,0
223,242,42,1.4586941584160016,8.508895162113363,3864,1
224,174,44,1.3075014010811563,8.465577071978231,3864,0
